"Month Number";"Sum";"Payment";"Percent";"Left To Pay"
"1";"108.33";"83.33";"25.00";"1416.67"
"2";"106.94";"83.33";"23.61";"1333.33"
"3";"105.56";"83.33";"22.22";"1250.00"
"4";"104.17";"83.33";"20.83";"1166.67"
"5";"102.78";"83.33";"19.44";"1083.33"
"6";"101.39";"83.33";"18.06";"1000.00"
"7";"100.00";"83.33";"16.67";"916.67"
"8";"98.61";"83.33";"15.28";"833.33"
"9";"97.22";"83.33";"13.89";"750.00"
"10";"95.83";"83.33";"12.50";"666.67"
"11";"94.44";"83.33";"11.11";"583.33"
"12";"93.06";"83.33";"9.72";"500.00"
"13";"91.67";"83.33";"8.33";"416.67"
"14";"90.28";"83.33";"6.94";"333.33"
"15";"88.89";"83.33";"5.56";"250.00"
"16";"87.50";"83.33";"4.17";"166.67"
"17";"86.11";"83.33";"2.78";"83.33"
"18";"84.72";"83.33";"1.39";"0.00"
